名称,人气
理查德·卡斯特尔诺,63 
朱茵,14564 
爱尔莎·兰切斯特,348 
张光,320 
金志映,34 
德拉·萨巴,12 
郑仁絮,106 
林贤成,9 
李健仁,453 
坦迪·牛顿,3397 
兰尼·蒙大拿,17 
玛琳·黛德丽,8594 
马里奥·普佐,702 
弗朗西斯·福特·科波拉,23071 
凯斯·索西,31 
詹姆斯·肯恩,1433 
吉尔·科德斯,4 
斯科特·克拉斯,8 
全国焕,97 
贾登·史密斯,1318 
黄东赫,2390 
蓝洁瑛,5389 
罗伯特·杜瓦尔,2797 
乔伊芙·拉文,1 
尤娜·奥康纳,26 
崔镇浩,69 
阿加莎·克里斯蒂,27019 
吉亚尼·罗素,12 
鲁迪·邦德,7 
艾丹·奎因,1679 
凯文·韦斯曼,43 
金民尚,25 
理查德·康特,57 
阿贝·维高达,126528人浏览 · 11篇文章
亨利·丹尼尔,2276 
斯特林·海登,307 
凯文·韦斯特,5 
泰隆·鲍华,1310 
科迪·霍恩,204 
马龙·白兰度,24253 
伊瑟尔·布罗萨德,1727 
瑞贝卡·德·莫妮,693 
威尔·史密斯,39947 
约翰·凯泽尔,1871 
斯科特·乔尔·吉兹基,1 
罗德·迈尔斯,4 
杰奎琳·埃沃拉,4 
哈里·库尼兹,14 
杰弗·卡伦,4 
坂本千夏,48 
阿罗拉·凯瑟琳·史密斯,6 
约翰·威廉姆斯,1537 
茹塔·李,37545人浏览 · 1篇文章
奥玛·希,2051 
加布里埃莱·穆奇诺,590 
戴维·迈克尔·西尔弗曼,1 
鳕子,18 
塔卡尤·费舍尔,15 
日高法子,156 
布莱恩·豪威,48 
安东尼·爱德华兹,192 
玛德琳·卡罗尔,6393 
丸山裕子,7 
多米尼克·博夫,2 
泰勒·格鲁秀斯,6 
博·勒纳,3 
陈冲,21752 
凯莉·唐纳利,9 
千叶繁,46 
理查德·吴,64 
约翰·马奥尼,630 
佩内洛普·安·米勒,1253 
马修·戈尔德,4 
安德鲁·沙因曼,11 
罗伯·莱纳,6997 
尊龙,26472 
安娜·勒尼,122 
水谷优子,57 
艾莉·布莱恩特,5 
瑞安·克茨纳,34 
阿什莉·泰勒,28 
文德琳·范·德拉安南,31 
弗朗索瓦·克鲁塞,4911 
苟杰德,77 
摩根·莉莉,4011 
吉莉安·普法夫,2 
米歇尔·梅斯默,4 
雨笠利幸,4 
康斯坦丁·格雷戈里,13 
肖恩·哈珀,328 
梁冬,117 
索菲亚·撒高,8 
帕特丽夏·伦茨,4 
黄自强,85 
玛吉·吉伦哈尔,11382 
广濑正志,6 
奥利维埃·纳卡什,750 
迈克尔·博尔顿,191 
鲍皓昕,11 
艾伦·艾克哈特,3947 
托马·索利韦尔,105 
奥德雷·弗勒罗,1309 
程淑艳,13 
埃里克·托莱达诺,263 
卡拉帕西托,14 
中村大树,7 
约书亚·哈尔托,13 
埃里克·罗伯茨,418 
岛本须美,145 
平松晶子,24 
柯林·麦克法兰,13 
欧鲁米基·欧拉乌米,3 
北林谷荣,61 
鹫尾真知子,58 
威廉·斯米利,2 
铃木玲子,11 
高木均,12 
吴涛,77 
丹尼斯·邓,30 
石田光子,2 
盖尔·加西亚·贝纳尔,4684 
威廉·菲克纳,5964 
李·昂克里奇,1870 
黄文捷,23 
西村朋纮,3 
大谷育江,415 
贝纳尔多·贝托鲁奇,25769 
彼得·奥图尔,2829 
神代知衣,7 
娜塔丽·科尔多瓦,157 
坂本龙一,24438 
陈述,154 
邬君梅,4667 
奥克塔维·索利斯,1 
安东尼·冈萨雷斯,67 
卢燕,1091 
英若诚,993 
大卫·S·高耶,393 
皱缇格,65 
蔡鸿翔,96 
阿方索·阿雷奥,168 
黄汉琪,9 
刘天池,335 
里克·扬,72 
安娜·奥菲丽亚·莫吉亚,9 
王涛,226 
亨利·基,583 
区亨利,94 
张良斌,9 
艾玛·沃森,57846 
内斯特·卡博内尔,503 
宋怀桂,58 
黛娅娜·欧特里,10 
克里斯蒂安·贝尔,65216 
里特奇·科斯特,14 
邦妮·怀特,1674 
迈克尔·斯托扬诺夫,7 
希斯·莱杰,35352 
莫尼克·加布里埃拉·库尔内,124 
罗恩·迪恩,8 
黄经汉,606 
丹尼·高德林,3 
郭涛,3304 
安东尼·迈克尔·豪尔,292 
文森佐·尼克力,2 
切奇·马林,68 
奥兰多·布鲁姆,29772 
杨同顺,3 
迈克尔·加·怀特,907 
董飞,12 
美琳达·麦格劳,136 
阿德里安·莫利纳,145 
迈克尔·维约,2 
内森·甘宝,376 
马尔顿·索克斯,651 
杰米·卡米尔,30 
马修·奥尔德里奇,4 
赫伯特·西古恩萨,1 
丹尼尔·雷德克里夫,13529 
爱利克·赫尔曼,4 
格雷格·比姆,2 
卡拉·梅迪纳,4 
伊恩·哈特,290 
朱丽·沃特斯,1024 
毕崔斯·罗森,271 
加布里埃尔·伊格莱西亚斯,189 
本杰明·布拉特,509 
牛犇,734 
约翰·诺贝尔,625 
路易斯·瓦尔德斯,4 
维果·莫腾森,16096 
菲利帕·鲍恩斯,144 
布兰卡·阿拉切利,2 
马修·奥尼尔,2 
芮妮·维克托,16 
阿兰娜·乌巴赫,129 
詹森·卡茨,2 
倪大红,5158 
张璐,141 
赛琳娜·露娜,6 
李连义,76 
卡尔·厄本,3624 
阿利斯泰尔·布朗宁,11 
爱德华·詹姆斯·奥莫斯,223 
约翰·贝西,11 
张艺谋,36915 
汤姆·费尔顿,8932 
克里斯·哥伦布,1456 
索菲亚·伊斯皮诺萨,11 
史蒂夫·克洛夫斯,90 
余华,17135 
诺埃尔·阿普利比,3 
董立范,221 
姜武,5695 
理查德·哈里斯,1548 
乔尔·托贝克,8 
隆巴多·博伊尔,13 
弗兰·威尔士,211 
萨尔瓦多·雷耶斯,1 
