李东奇调研水上中心全运会备战工作,08-16,/tiyukuaixun/2021/0816/16658.html
省体彩中心召开主任扩大会,08-10,/tiyukuaixun/2021/0810/16642.html
水上中心召开专题会议传达学习省体育局党组扩大会议精神,08-10,/tiyukuaixun/2021/0810/16641.html
射击射箭中心学习贯彻许勤省长讲话精神,08-10,/tiyukuaixun/2021/0810/16639.html
接力传承奥运荣光全力冲刺全运会备战参赛 ――田径中心传达学习局党组扩大会议精神,08-10,/tiyukuaixun/2021/0810/16636.html
奥运事务处和冬运中心组织召开传达许勤省长讲话精神暨疫情防控调度工作会议,08-10,/tiyukuaixun/2021/0810/16634.html
青训中心传达学习局党组扩大会议精神,08-09,/tiyukuaixun/2021/0809/16632.html
张泽峰到中国移动河北分公司考察座谈,08-09,/tiyukuaixun/2021/0809/16630.html
全省体育彩票上半年总结工作会议召开,08-09,/tiyukuaixun/2021/0809/16629.html
不拘一格选人才改革创新注活力省体彩中心召开地市中心主任竞聘动员大会,08-09,/tiyukuaixun/2021/0809/16627.html
摔拳跆中心召开疫情防控专题会议,08-05,/tiyukuaixun/2021/0805/16606.html
运动技术学校传达省体育局疫情防控调度会议精神,08-04,/tiyukuaixun/2021/0804/16600.html
王彪到运动技术学校和河北体育馆检查督导疫情防控工作,08-04,/tiyukuaixun/2021/0804/16599.html
青训中心传达省体育局疫情防控调度会精神,08-03,/tiyukuaixun/2021/0803/16597.html
河北体育馆传达省体育局疫情防控调度会议精神,08-03,/tiyukuaixun/2021/0803/16593.html
新老体育人共同观赛见证河北乒乓辉煌,07-31,/tiyukuaixun/2021/0731/16570.html
发挥积极作用维护社会稳定河北省市县三级健身气功信息员制度全面建立,07-30,/tiyukuaixun/2021/0730/16566.html
大球中心学习贯彻习近平总书记重要讲话精神,07-20,/tiyukuaixun/2021/0720/16480.html
省体育局邀请省气象局、省工信厅等相关部门深入一线为国家队备战冬奥保驾护航,07-14,/tiyukuaixun/2021/0714/16408.html
冬奥宣传片第二季《冰雪的召唤》,07-07,/tiyukuaixun/2021/0707/16357.html
取经问道 借力前行――河北奥体中心赴射击射箭中心学习交流,06-21,/tiyukuaixun/2021/0621/16192.html
【关注】“我为祖国添光彩”微电影大赛获奖结果,06-21,/tiyukuaixun/2021/0621/16189.html
奥体中心召开建党100周年暨“两项工作”氛围营造主任联席会,06-21,/tiyukuaixun/2021/0621/16187.html
第十四届全运会网球项目群众组河北省选拔赛成功举办,06-21,/tiyukuaixun/2021/0621/16186.html
