乒乓高手看过来 河南省大众乒乓球公开赛邀您“乒动中原”,2022-02-28,http://tyj.henan.gov.cn/2022/02-28/2405245.html
冬奥带动滑雪热！郑州室内滑雪场客流倍增,2022-02-17,http://tyj.henan.gov.cn/2022/02-17/2400019.html
与冬奥同行，河南省轮冰冬令营开营,2022-02-11,http://tyj.henan.gov.cn/2022/02-11/2397040.html
河南冰雪之群众体育，参与冰雪活动人数排全国第七位,2022-02-07,http://tyj.henan.gov.cn/2022/02-07/2394535.html
与冬奥同行 2022年河南省社会体育项目线上展示活动1月29日启幕,2022-01-30,http://tyj.henan.gov.cn/2022/01-30/2393112.html
2022年新春健步走展示网络大联欢1月29日启幕,2022-01-29,http://tyj.henan.gov.cn/2022/01-29/2392079.html
迎冬奥“动起来” 河南省青少年体育线上展示大赛开始报名,2022-01-28,http://tyj.henan.gov.cn/2022/01-28/2390727.html
栾川：“冰雪奇缘”引爆冬季旅游,2022-01-27,http://tyj.henan.gov.cn/2022/01-27/2389179.html
“贺新春 迎冬奥”智力体育网络擂台赛即将开赛,2022-01-14,http://tyj.henan.gov.cn/2022/01-14/2382485.html
冰雪运动在我省逐渐“升温”,2022-01-13,http://tyj.henan.gov.cn/2022/01-13/2382378.html
围绕“三位一体” 推进河南老年体育发展,2022-01-11,http://tyj.henan.gov.cn/2022/01-11/2380660.html
体育总局 财政部 市场监管总局联合印发《关于加强公共场所全民健身器材配建管理工作的意见》,2022-01-07,http://tyj.henan.gov.cn/2022/01-07/2379229.html
我省大学生首届线上智运会圆满落幕,2022-01-06,http://tyj.henan.gov.cn/2022/01-06/2378169.html
“中国体育彩票”2022年全国新年登高健身大会河南分会场活动在南阳独山举行,2022-01-05,http://tyj.henan.gov.cn/2022/01-05/2377497.html
五部门联合发布《全民健身基本公共服务标准（2021年版）》,2022-01-05,http://tyj.henan.gov.cn/2022/01-05/2377388.html
社会体育指导员助力“冰雪河南”,2022-01-04,http://tyj.henan.gov.cn/2022/01-04/2376706.html
从线上到线下，从活动开展到出征全运 | 河南社会体育精彩2021,2021-12-31,http://tyj.henan.gov.cn/2021/12-31/2375049.html
让“惠”民更“慧”民 把体育惠民智能健身房建在市民家门口,2021-12-28,http://tyj.henan.gov.cn/2021/12-28/2372803.html
激情迎冬奥 陆地赛冰壶,2021-12-28,http://tyj.henan.gov.cn/2021/12-28/2372783.html
促进社会足球场地开放 河南三部门联合发文,2021-12-24,http://tyj.henan.gov.cn/2021/12-24/2371230.html
老年人乒乓球集训选拔 备战第四届全国老健会,2021-12-23,http://tyj.henan.gov.cn/2021/12-23/2370294.html
河南省五人制足球锦标赛焦作队夺冠,2021-12-23,http://tyj.henan.gov.cn/2021/12-23/2370270.html
欢乐总动员 “奔跑吧·少年”进社区趣味运动会在郑启幕,2021-12-20,http://tyj.henan.gov.cn/2021/12-20/2368085.html
“奔跑吧·少年”快乐家庭亲子乒乓球比赛举行,2021-12-20,http://tyj.henan.gov.cn/2021/12-20/2367917.html
健身去哪？河南省5部门联合发文，加快补齐全民健身场地设施短板,2021-12-17,http://tyj.henan.gov.cn/2021/12-17/2367445.html
河南省直属机关第七届全民健身运动会闭幕,2021-12-16,http://tyj.henan.gov.cn/2021/12-16/2366158.html
到2025年，河南人均体育场地面积2.6平方米,2021-12-16,http://tyj.henan.gov.cn/2021/12-16/2366140.html
省体育模特公开赛落幕,2021-12-16,http://tyj.henan.gov.cn/2021/12-16/2366131.html
建设体育强省，给你“运动自由”,2021-12-15,http://tyj.henan.gov.cn/2021/12-15/2365944.html
2021年全国健身气功“百城千村”交流展示系列活动河南省顺利闭幕,2021-12-15,http://tyj.henan.gov.cn/2021/12-15/2365440.html
体验+指导 “冰雪河南”欢乐前行,2021-12-14,http://tyj.henan.gov.cn/2021/12-14/2364665.html
“公仆杯”乒乓球赛总决赛郑州挥拍,2021-12-13,http://tyj.henan.gov.cn/2021/12-13/2364123.html
文化+体育助推郑焦融合 2021年郑焦黄河自行车公开赛启幕,2021-12-13,http://tyj.henan.gov.cn/2021/12-13/2363919.html
爱冰雪，你就来,2021-12-07,http://tyj.henan.gov.cn/2021/12-07/2360657.html
中国龙狮运动公益万里行来到河南，百名龙狮指导员提升技艺,2021-12-06,http://tyj.henan.gov.cn/2021/12-06/2360386.html
“烧脑”拼智慧 河南省五子棋锦标赛绿城开赛,2021-12-06,http://tyj.henan.gov.cn/2021/12-06/2359851.html
“智慧中原”2021年河南省桥牌团体赛开赛,2021-12-03,http://tyj.henan.gov.cn/2021/12-06/2359847.html
河南省全民冰雪梦想季 轮滑球公开赛邀您一显身手,2021-12-01,http://tyj.henan.gov.cn/2021/12-01/2357656.html
实施《全民健身计划》 建设体育强国,2021-11-30,http://tyj.henan.gov.cn/2021/11-30/2356954.html
数字+，全民健身更“好办”,2021-11-26,http://tyj.henan.gov.cn/2021/11-26/2355137.html
盘点：九年来哪些体育政策改变了我们的生活,2021-11-22,http://tyj.henan.gov.cn/2021/11-22/2350871.html
河南118个视频亮相重阳全国太极拳线上活动,2021-11-15,http://tyj.henan.gov.cn/2021/11-15/2347343.html
助力全国老年人太极拳健身推广 河南15家老体协单位受表彰,2021-11-15,http://tyj.henan.gov.cn/2021/11-15/2346950.html
河南省群众体育春晚邀您秀风采,2021-11-15,http://tyj.henan.gov.cn/2021/11-15/2346874.html
夺得象甲亚军 创造历史最佳 河南象棋“拍案惊奇”,2021-12-08,http://tyj.henan.gov.cn/2021/11-12/2345971.html
建设体育河南，描绘全民健身新画卷,2021-11-05,http://tyj.henan.gov.cn/2021/11-05/2342038.html
落实全民健身国家战略 推动健康中国建设——《“十四五”体育发展规划》全民健身内容解读,2021-11-03,http://tyj.henan.gov.cn/2021/11-03/2340613.html
社会体育指导员“比武”展身手 全国体育行业职业技能大赛河南省选拔赛举行,2021-11-02,http://tyj.henan.gov.cn/2021/11-02/2339373.html
中原大地的“冰雪奇缘”,2021-10-29,http://tyj.henan.gov.cn/2021/10-29/2337248.html
冬奥倒计时100天！河南启动大众冰雪系列活动,2021-10-27,http://tyj.henan.gov.cn/2021/10-27/2335845.html
3V3羽毛球赛 八百爱好者郑州挥拍,2021-10-26,http://tyj.henan.gov.cn/2021/10-26/2334190.html
河南省直单位第十七期网球培训班开班,2021-10-25,http://tyj.henan.gov.cn/2021/10-25/2333103.html
省射击射箭协会洛阳训练基地揭牌,2021-10-20,http://tyj.henan.gov.cn/2021/10-20/2330085.html
体育法修订草案提请审议！体育老师不再“被生病”,2021-10-19,http://tyj.henan.gov.cn/2021/10-19/2329384.html
全国业余围棋公开赛 河南代表队摘金夺银,2021-10-18,http://tyj.henan.gov.cn/2021/10-18/2328200.html
舞动重阳节！河南省第三届老年人广场舞大赛总决赛精彩收官,2021-10-15,http://tyj.henan.gov.cn/2021/10-15/2327911.html
洛阳市第十四届运动会暨第三届全民健身大会在宜阳县开幕,2021-10-12,http://tyj.henan.gov.cn/2021/10-12/2325325.html
河南象棋大师曹岩磊 夺得“上海杯”冠军,2021-10-11,http://tyj.henan.gov.cn/2021/10-11/2324659.html
省体育舞蹈协会获评全国群众体育先进单位,2021-10-09,http://tyj.henan.gov.cn/2021/10-09/2323957.html
全运会群众体育足球比赛落幕 河南代表队分获女子第三男子第七,2021-09-28,http://tyj.henan.gov.cn/2021/09-28/2320662.html
2021年中国体育彩票“民间棋王”电视争霸60位河南高手对弈争“棋王”,2021-09-27,http://tyj.henan.gov.cn/2021/09-27/2319493.html
象棋民间棋王争霸赛 河南赛区荥阳开赛,2021-09-26,http://tyj.henan.gov.cn/2021/09-26/2318697.html
开封市老年乒乓球选手郭佩秋为全运会河南代表团贡献一枚铜牌,2021-09-24,http://tyj.henan.gov.cn/2021/09-24/2318092.html
“全民全运 体彩同行”续写全民健身新篇章,2021-09-23,http://tyj.henan.gov.cn/2021/09-23/2317162.html
地掷球摘下我省群体项目第2金,2021-09-18,http://tyj.henan.gov.cn/2021/09-18/2315282.html
河南12名民间网球高手出征荆门,2021-09-18,http://tyj.henan.gov.cn/2021/09-18/2315280.html
全运会群众项目备战忙 河南龙舟队劈波斩浪秀风采,2021-09-09,http://tyj.henan.gov.cn/2021/09-09/2309609.html
平顶山银行太极拳队荣获第十四届全国运动会群众太极拳展演决赛一等奖,2021-09-08,http://tyj.henan.gov.cn/2021/09-08/2308827.html
让“银发族”安全快乐练起来,2021-09-07,http://tyj.henan.gov.cn/2021/09-07/2308162.html
全运会群众赛事展演河南“丰收”,2021-09-03,http://tyj.henan.gov.cn/2021/09-03/2306258.html
河南代表队获全运会广场舞展演三等奖,2021-09-01,http://tyj.henan.gov.cn/2021/09-01/2304419.html
全运会广播体操展演落幕，河南斩获六个奖项！,2021-09-01,http://tyj.henan.gov.cn/2021/09-01/2304418.html
图解：河南印发《意见》推进全民健身和全民健康深度融合,2021-08-31,http://tyj.henan.gov.cn/2021/08-31/2303538.html
河南小伙王金刚勇夺残奥会男子50米蝶泳S6决赛金牌,2021-08-31,http://tyj.henan.gov.cn/2021/08-31/2303165.html
2025年，我省“体育锻炼人口”比例38.5%,2021-08-27,http://tyj.henan.gov.cn/2021/08-27/2301431.html
东京残奥会昨晚拉开帷幕 河南三名“老将”出征,2021-08-25,http://tyj.henan.gov.cn/2021/08-25/2300007.html
河南10支队伍“出战”太极拳展演,2021-08-24,http://tyj.henan.gov.cn/2021/08-24/2299152.html
“全民健身日”系列赛事活动收官 河南社体线上引领体育生活化,2021-08-20,http://tyj.henan.gov.cn/2021/08-20/2296983.html
驻马店开展“全民健身日”线上系列展示：“健身抗疫”动起来,2021-08-19,http://tyj.henan.gov.cn/2021/08-19/2296594.html
《全民健身计划（2021—2025年）》助力各地群众体育发力,2021-08-11,http://tyj.henan.gov.cn/2021/08-11/2199847.html
促进全民健身更高水平发展 为建设体育强国添能加油,2021-08-05,http://tyj.henan.gov.cn/2021/08-05/2196579.html
体育总局等11部门联合印发《关于进一步加强体育赛事活动安全监管服务的意见》,2021-07-06,http://tyj.henan.gov.cn/2021/07-06/2177420.html
河南百场老年文体健身活动庆祝建党100周年,2021-07-06,http://tyj.henan.gov.cn/2021/07-06/2177408.html
“我要上全运”毽球选拔赛收官,2021-07-05,http://tyj.henan.gov.cn/2021/07-05/2176670.html
