电影名,上映年度,电影英文名,类型,上映时间,国家及地区,累计票房
诸神之战,2010,Clash of the Titans,奇幻/动作/冒险,2010-4-16（中国）,美国,17197.7万
飞鹰,2004,Silver Hawk,动作,2004-1-15（中国）,中国香港,1400.0万
人生遥控器,2007,Click,剧情,2007-4-21（中国）,美国,1200.0万
冷酷收获,2006,Cold Harvest,动作/科幻,2006-6-20（中国）,美国,224.2万
冷山,2004,Cold Mountain,爱情,2004-4-30（中国）,美国,2673.6万
王者之剑,2012,Conan the Barbarian,动作/奇幻/冒险,2012-2-26（中国）,美国,4439.4万
芬妮的微笑,2003,Am anderen Ende der Brücke,爱情,2003-2-26（中国）,奥地利/中国,200.0万
东京审判,2006,Tokyo Trial,战争/剧情,2006-9-1（中国）,中国,2410.2万
呓语喃喃,2007,"Crossword Monologues, The",剧情,2007-6-22（中国）,日本/巴西/法国/美国,无
残酷的世界,2005,Cruel World,喜剧/恐怖/惊悚/剧情,2005-9-1（中国）,美国,无
达芬奇密码,2006,The Da Vinci Code,惊悚/悬疑,2006-5-18（中国）,美国,无
超胆侠,2003,Daredevil,动作,2003-6-20（中国）,美国,无
虎胆追凶,2018,Death Wish,动作/犯罪/惊悚,2018-9-21（中国）,美国,2241.9万
时空线索,2007,Deja Vu,惊悚,2007-3-20（中国）,美国,2480.0万
穿普拉达的女王,2007,The Devil Wears Prada,剧情/职场,2007-2-27（中国）,美国,1900.0万
恐龙,2000,Dinosaur,动画,2000-7-28（中国）,美国,1500.0万
孤胆拯救,2010,Direct Contact,动作,2010-4-8（中国）,美国/德国,375.7万
生死格斗,2007,DOA: DeadAlive,动作/冒险,2007-7-24（中国）,美国/德国/英国,501.7万
奇异博士,2016,Doctor Strange,冒险/奇幻/动作,2016-11-4（中国）,美国,75170.0万
龙腾虎跃,2001,"Flying Dragon, Leaping Tiger",动作,2001-9-20（中国）,中国香港,无
致命追缉令,2000,Double Jeopardy,惊悚,2000-3-13（中国）,德国/加拿大/美国,无
七龙珠,2009,Dragonball: Evolution,动作,2009-3-14（中国）,美国,6500.0万
双层公寓,2006,Duplex,喜剧,2006-2-1（中国）,美国/德国,1202.3万
飞鹰艾迪,2016,Eddie the Eagle,喜剧/运动/传记,2016-3-18（中国）,英国/美国/德国,670.5万
梦之队,2008,Dream Team,喜剧,2008-1-5（中国）,中国/泰国,33.2万
安德的游戏,2014,Ender's Game,动作/科幻,2014-1-7（中国）,美国,13875.7万
兵临城下,2001,Enemy at the Gates,战争,2001-7-21（中国）,美国/德国/英国/爱尔兰,无
浩劫惊魂,2002,Epicenter,科幻,2002-5-17（中国）,美国,1000.3万
龙骑士,2007,Eragon,奇幻/动作/冒险,2007-4-5（中国）,美国/英国,3500.6万
神奇四侠,2005,Fantastic Four,科幻,2005-9-29（中国）,美国/德国,2000.0万
赛车风云,2009,Fast,动作,2009-4-15（中国）,美国,2749.3万
速度与激情1,2008,"Fastthe Furious, The",动作/犯罪/惊悚,2008-9-1（中国）,美国/德国,1337.6万
海底总动员,2003,Finding Nemo,动画,2003-7-30（中国）,美国,3553.0万
开火,2010,Fire!,动作/冒险,2010-4-10（中国）,美国/德国,117.8万
防火墙,2006,Firewall,惊悚,2006-4-11（中国）,美国/澳大利亚,无
父子,2006,After This Our Exile,剧情,2006-11-30（中国）,中国香港/中国,186.8万
美国队长,2011,The First Avenger: Captain America,动作/科幻/冒险,2011-9-9（中国）,美国,8470.4万
凤凰劫,2005,Flight of the Phoenix,动作,2005-4-30（中国）,美国,无
