,score,city,comment
94,4.5,青岛,时隔三年，又看了一个，这次没有了第一次看的时候不停的爆笑，毕竟所有的梗都知道了，但是在夏洛去马冬梅家吃茴香面的时候，还是热泪盈眶，总觉得现在的爱人不满意，可是如果穿越回以前，我相信我自然会选择现在的她
95,5.0,深圳,这个片子到底是搞笑的煽情还是煽情的搞笑？
96,4.0,慈溪,最喜欢的一部喜剧片，现在还会看
97,5.0,临沂,笑点较高………………
98,5.0,台州,通过此片，第一次接触开心麻花，搞笑之余还有温情，虽然笑点有些挺干，也不失成功的商业喜剧电影
99,5.0,上海,好久没看过这么开心的喜剧了，
100,5.0,秦皇岛,很不错，货真价实，童叟无欺，知友速来。
101,5.0,鄂尔多斯,刚刚在电影院看我，真好看，没有去年的妇联2好看。。。。
102,4.5,徐州,"""下午刚看完西虹市首富，然后过来看让我第一次感觉惊艳的开心麻花的夏洛特烦恼，记得当时和朋友一起从电影院出来，便安利其他朋友去看，还疯狂的查她们的资料，不仅笑点密集不尴尬，而且很有意义但是后来的开心麻花作品却让人感觉像尴尬的春晚小品~~~"
103,5.0,沧州,且 行 且 珍 惜
104,5.0,襄阳,完美还可以还可以
105,3.5,绍兴,初看时还觉得笑料挺足，沈腾的表演也很好，更是留下了那个著名的鬼畜片段“马冬梅”。可是第二次看就觉得这部片三观让我失望，*丝逆袭被搞成了抄袭成名，女主竟然对于这样渣的人还是冰释前嫌。诶又让《一剪梅》火了一把
106,5.0,富阳,好可怕，这已经是三年前的电影了，时光飞逝啊简直
107,1.0,台州,"我不是药神
我刚刚参加。不能不让自己成为一个？好像我想找出一个劲地说出自己的问题……这是因为我们之间关系"
108,4.0,北京,成功的喜剧片
109,4.5,北京,"马东什么
马什么梅
什么东梅
光这三句话就够我笑好几年了"
110,5.0,北京,好看没得说！
111,5.0,成都,笑到肚子疼，从此爱上开心麻花
112,5.0,昆明,感觉还不错。
113,4.0,无为,对于没有看过原话剧的观众来说，这是一次不俗的体验。全程高能爆笑，典型开心麻花的风格，贱贱的沈腾，傻乎乎的艾伦，还有田雨的老师非常亮眼，且笑点偏于北方观众。故事是俗套的穿越奇幻类，依旧心灵鸡汤而没什么营养，不过该片鬼马的喜剧效果才是最大亮点，没内涵但很搞笑，国庆档的惊喜
114,5.0,成都,很好，很好看。
115,5.0,河源,超级搞笑，很好看????????
116,5.0,南京,非常好看呀呀呀哟
117,4.0,荆门,很有感触，开始以为是一部纯搞笑的电影，抱着去乐一下的心态，没找到电影中给了一个很感触的启发，有很多人想传回去从新来过，但我想最后得到的答案有可能跟夏洛一样的答案，原来的才是最好的，最初的才是最好的
118,5.0,黄山,和她一起看的
119,5.0,昆明,很好的电影，让我回想起曾经的过往！
120,5.0,西安,特别好看。特别喜欢。再看一遍都可以
121,4.0,青岛,时间太久忘了
122,5.0,常州,很喜欢很喜欢
123,4.5,北京,非常好，唯一不足的就是结尾有点儿草
124,5.0,青岛,妈啊 太好看了 回想起夏洛特烦恼简直是近年看的最好看的国产电影
125,5.0,大连,好看好看好看好看
126,5.0,兰州,好，高评分电影
127,4.0,薛城,难得一见的国产高分喜剧
128,3.5,靖江,很好笑 看的很开心
