MMSI,BaseDateTime,LAT,LON,SOG,COG
412366332,2019-01-04 09:20:00,34.8804072,119.609695,6.05466667,332.370667
412366332,2019-01-04 09:25:00,34.8822209,119.602642,4.6448505,290.859136
412366332,2019-01-04 09:30:00,34.8842363,119.595388,5.182,292.4555
412366332,2019-01-04 09:35:00,34.8862545,119.588138,5.782,295.6055
412366332,2019-01-04 09:40:00,34.8865913,119.587155,5.13451143,297.151975
412366332,2019-01-04 09:45:00,34.8870073,119.584803,3.52422803,305.703325
412366332,2019-01-04 09:50:00,34.8876498,119.579752,0.317577197,326.439667
412366332,2019-01-04 09:55:00,34.8891057,119.579028,0.75047619,298.919286
412366332,2019-01-04 10:00:00,34.8898432,119.577649,0.953185596,278.890582
412366332,2019-01-04 10:05:00,34.8899613,119.575687,0.96,269.65
412366332,2019-01-04 10:10:00,34.8899902,119.57381,1.1,267.466667
412366332,2019-01-04 10:15:00,34.8899083,119.571895,1.1,269.133333
412366332,2019-01-04 10:20:00,34.8897059,119.569999,1.15333333,266.426667
412366332,2019-01-04 10:25:00,34.889489,119.568101,1.2,262.813333
412366332,2019-01-04 10:30:00,34.8892223,119.566188,1.2,255.396667
412366332,2019-01-04 10:35:00,34.8889378,119.564335,1.12022161,258.131579
412366332,2019-01-04 10:40:00,34.8886571,119.562562,1.03694444,255.873333
412366332,2019-01-04 10:45:00,34.8883486,119.560853,1.0,258.6925
412366332,2019-01-04 10:50:00,34.8880552,119.559182,1.0,263.7325
412366332,2019-01-04 10:55:00,34.8880959,119.558186,1.46843854,228.950831
412366332,2019-01-04 11:00:00,34.8890278,119.561391,4.04584718,58.6584718
412366332,2019-01-04 11:05:00,34.8868658,119.568132,4.34265403,132.069668
412366332,2019-01-04 11:10:00,34.8838042,119.574646,4.62701422,94.5341232
412366332,2019-01-04 11:15:00,34.8835646,119.582143,4.56484848,83.4809091
412366332,2019-01-04 11:20:00,34.8836654,119.590163,4.73323263,95.1613293
412366332,2019-01-04 11:25:00,34.8828746,119.598187,4.8461794,85.8086379
412366332,2019-01-04 11:30:00,34.8837508,119.605687,4.85348837,74.2116279
412366332,2019-01-04 11:35:00,34.8831104,119.612551,4.9,93.3687371
412366332,2019-01-04 11:40:00,34.8795357,119.619194,4.9,122.747619
413805467,2019-01-04 08:25:50,34.4188167,119.783322,0.1,93.9
413805467,2019-01-04 08:30:50,34.4162818,119.784311,2.67372654,162.747185
413805467,2019-01-04 08:35:50,34.4139256,119.784081,1.08710692,199.987107
413805467,2019-01-04 08:40:50,34.4132431,119.783923,0.188610354,224.714986
413805467,2019-01-04 08:45:50,34.4132644,119.783968,0.17226158,248.420708
413805467,2019-01-04 08:50:50,34.4132856,119.784013,0.155912807,272.126431
413805467,2019-01-04 08:55:50,34.4133069,119.784058,0.139564033,295.832153
413805467,2019-01-04 09:00:50,34.4133282,119.784103,0.123215259,319.537875
413805467,2019-01-04 09:05:50,34.4133494,119.784148,0.106866485,343.243597
413805467,2019-01-04 09:10:50,34.413348,119.784152,0.1,345.121768
413805467,2019-01-04 09:15:50,34.4133303,119.784128,0.1,331.193781
413805467,2019-01-04 09:20:50,34.4133126,119.784103,0.1,317.265794
413805467,2019-01-04 09:25:50,34.4132949,119.784079,0.1,303.337807
413805467,2019-01-04 09:30:50,34.4132771,119.784054,0.1,289.40982
413805467,2019-01-04 09:35:50,34.4132594,119.78403,0.1,275.481833
413805467,2019-01-04 09:40:50,34.4132328,119.784002,0.0923076923,260.361538
413805467,2019-01-04 09:45:50,34.4131963,119.78397,0.0759410802,243.896727
413805467,2019-01-04 09:50:50,34.4131597,119.783938,0.0595744681,227.431915
413805467,2019-01-04 09:55:50,34.4131232,119.783906,0.043207856,210.967103
413805467,2019-01-04 10:00:50,34.4130866,119.783874,0.0268412439,194.502291
413805467,2019-01-04 10:05:50,34.4130501,119.783842,0.0104746318,178.03748
413805467,2019-01-04 10:10:50,34.4130239,119.783819,0.0,170.895633
413805467,2019-01-04 10:15:50,34.4130163,119.783811,0.0,180.327948
413805467,2019-01-04 10:20:50,34.4130086,119.783803,0.0,189.760262
413805467,2019-01-04 10:25:50,34.413001,119.783795,0.0,199.192576
413805467,2019-01-04 10:30:50,34.4129933,119.783787,0.0,208.624891
413805467,2019-01-04 10:35:50,34.4129857,119.783779,0.0,218.057205
413805467,2019-01-04 10:40:50,34.4129786,119.783775,0.00414168937,218.692807
413805467,2019-01-04 10:45:50,34.4129732,119.783783,0.0204904632,193.401253
413805467,2019-01-04 10:50:50,34.4129677,119.78379,0.0368392371,168.1097
413805467,2019-01-04 10:55:50,34.4129623,119.783797,0.0531880109,142.818147
413805467,2019-01-04 11:00:50,34.4129568,119.783805,0.0695367847,117.526594
413805467,2019-01-04 11:05:50,34.4129514,119.783812,0.0858855586,92.2350409
413805467,2019-01-04 11:10:50,34.4129459,119.783817,0.0977789816,75.3972914
413805467,2019-01-04 11:15:50,34.4129399,119.783812,0.0815276273,111.962839
413805467,2019-01-04 11:20:50,34.4129339,119.783806,0.065276273,148.528386
413805467,2019-01-04 11:25:50,34.412928,119.7838,0.0490249187,185.093933
413805467,2019-01-04 11:30:50,34.412922,119.783794,0.0327735645,221.65948
413805467,2019-01-04 11:35:50,34.4129161,119.783788,0.0165222102,258.225027
413805467,2019-01-04 11:40:50,34.4129101,119.783782,0.000270855905,294.790574
413805467,2019-01-04 11:45:50,34.4129123,119.783774,0.0155919662,292.125687
413805467,2019-01-04 11:50:50,34.4129147,119.783767,0.031448203,288.795877
413805467,2019-01-04 11:55:50,34.4129171,119.78376,0.0473044397,285.466068
413805467,2019-01-04 12:00:50,34.4129195,119.783752,0.0631606765,282.136258
413805467,2019-01-04 12:05:50,34.4129219,119.783745,0.0790169133,278.806448
413805467,2019-01-04 12:10:50,34.4129242,119.783737,0.0948731501,275.476638
413805467,2019-01-04 12:15:50,34.412871,119.783532,0.894937918,264.47297
413805467,2019-01-04 12:20:50,34.4127913,119.783233,2.06972302,249.802483
413805467,2019-01-04 12:25:50,34.4127115,119.782934,3.24450812,235.131996
413805467,2019-01-04 12:30:50,34.4112199,119.782586,4.66369427,213.070064
413805467,2019-01-04 12:35:50,34.4037486,119.782416,6.74246575,169.091324
413805467,2019-01-04 12:40:50,34.3973339,119.784637,6.33150685,188.315068
413805467,2019-01-04 12:45:50,34.3909192,119.786858,5.92054795,207.538813
413805467,2019-01-04 12:50:50,34.3845044,119.789079,5.50958904,226.762557
413805467,2019-01-04 12:55:50,34.3780896,119.791299,5.09863014,245.986301
413805467,2019-01-04 13:00:50,34.3746145,119.785483,5.296875,242.525
413805467,2019-01-04 13:05:50,34.3705264,119.777722,5.84169492,221.282034
413805467,2019-01-04 13:10:50,34.3636359,119.772556,5.66063348,203.721267
413805467,2019-01-04 13:15:50,34.3574517,119.767722,5.87376623,226.651429
413805467,2019-01-04 13:20:50,34.3530549,119.759981,6.72962963,251.715432
413805467,2019-01-04 13:25:50,34.3483075,119.750458,6.54397906,215.575916
413805467,2019-01-04 13:30:50,34.3398796,119.74969,6.43353909,191.519547
413805467,2019-01-04 13:35:50,34.3310429,119.750308,6.53921569,193.394118
413805467,2019-01-04 13:40:50,34.3248687,119.743204,6.63495935,229.813821
413805467,2019-01-04 13:45:50,34.3173882,119.736649,7.06875,198.43125
413805467,2019-01-04 13:50:50,34.3086871,119.73277,6.7388601,224.454922
413805467,2019-01-04 13:55:50,34.3037452,119.722948,7.05247148,237.010266
413805467,2019-01-04 14:00:50,34.2976017,119.714107,6.9,211.3
413805467,2019-01-04 14:05:50,34.2902703,119.706774,6.85809524,224.595714
413805467,2019-01-04 14:10:50,34.2840716,119.698665,6.23764045,226.352247
413805467,2019-01-04 14:15:50,34.2788679,119.691162,5.73202247,233.26236
413805467,2019-01-04 14:20:50,34.2741941,119.682998,6.17492958,228.000845
413805467,2019-01-04 14:25:50,34.2692112,119.676162,4.92006369,226.545223
413805467,2019-01-04 14:30:50,34.265275,119.669985,5.10745614,233.615789
413805467,2019-01-04 14:35:50,34.2600908,119.662568,5.76535088,236.773684
413805467,2019-01-04 14:40:50,34.2560262,119.654589,5.6747191,242.128652
413805467,2019-01-04 14:45:50,34.2529307,119.646008,5.53173077,248.993269
413805467,2019-01-04 14:50:50,34.2502055,119.637613,5.31038961,248.264935
413805467,2019-01-04 14:55:50,34.2473166,119.630234,4.45518207,236.823529
413805467,2019-01-04 15:00:50,34.2437662,119.624653,4.11904762,228.0
413805467,2019-01-04 15:05:50,34.2400702,119.619083,4.81949153,230.69774
413805467,2019-01-04 15:10:50,34.2353704,119.612077,5.82130802,232.321308
413805467,2019-01-04 15:15:50,34.2303431,119.603808,7.11353383,234.833459
413805467,2019-01-04 15:20:50,34.2251452,119.592995,8.11356589,238.202326
413805467,2019-01-04 15:25:50,34.2197412,119.584783,6.13682171,228.434884
413805467,2019-01-04 15:30:50,34.2146865,119.577776,5.15338983,229.773446
413805467,2019-01-04 15:35:50,34.210851,119.571765,4.32768362,241.181073
413805467,2019-01-04 15:40:50,34.2087232,119.566187,2.86042945,247.853988
413805467,2019-01-04 15:45:50,34.2073598,119.561994,2.12555911,227.319808
412306658,2019-01-04 00:00:00,34.1280983,120.783652,9.8,14.1
412306658,2019-01-04 00:05:00,34.141303,120.787141,9.7,8.2251046
412306658,2019-01-04 00:10:00,34.1512283,120.785523,5.9,241.4
412306658,2019-01-04 00:15:00,34.1481255,120.773131,7.675,254.4375
412306658,2019-01-04 00:20:00,34.1451862,120.760931,7.5,251.218127
412306658,2019-01-04 00:25:00,34.1421961,120.748847,7.49126506,251.422289
412306658,2019-01-04 00:30:00,34.1391719,120.736802,7.40090361,252.687349
412306658,2019-01-04 00:35:00,34.1380373,120.732714,4.98832036,282.565184
412306658,2019-01-04 00:40:00,34.1369216,120.728707,2.55228031,312.732036
412306658,2019-01-04 00:45:00,34.1358058,120.7247,0.116240267,342.898888
412306658,2019-01-04 00:50:00,34.1357004,120.724851,0.131030892,308.986706
412306658,2019-01-04 00:55:00,34.1356018,120.72503,0.162270045,274.644464
412306658,2019-01-04 01:00:00,34.1355033,120.725209,0.193509198,240.302221
412306658,2019-01-04 01:05:00,34.1354047,120.725388,0.224748351,205.959979
412306658,2019-01-04 01:10:00,34.1353061,120.725567,0.255987504,171.617737
412306658,2019-01-04 01:15:00,34.1352075,120.725746,0.287226657,137.275495
412306658,2019-01-04 01:20:00,34.135109,120.725925,0.31846581,102.933252
412306658,2019-01-04 01:25:00,34.1350104,120.726104,0.349704964,68.5910101
412306658,2019-01-04 01:30:00,34.1349118,120.726283,0.380944117,34.2487678
412306658,2019-01-04 01:35:00,34.1348623,120.726437,0.439,27.392
412306658,2019-01-04 01:40:00,34.1348895,120.726552,0.539,63.5253333
412306658,2019-01-04 01:45:00,34.1349167,120.726668,0.639,99.6586667
412306658,2019-01-04 01:50:00,34.134944,120.726783,0.739,135.792
412306658,2019-01-04 01:55:00,34.1349712,120.726899,0.839,171.925333
412306658,2019-01-04 02:00:00,34.1349984,120.727015,0.939,208.058667
412306658,2019-01-04 02:05:00,34.1350227,120.727095,0.956666667,236.529583
412306658,2019-01-04 02:10:00,34.1350424,120.72712,0.845555556,253.015694
412306658,2019-01-04 02:15:00,34.135062,120.727146,0.734444444,269.501806
412306658,2019-01-04 02:20:00,34.1350817,120.727171,0.623333333,285.987917
412306658,2019-01-04 02:25:00,34.1351014,120.727197,0.512222222,302.474028
412306658,2019-01-04 02:30:00,34.1351211,120.727222,0.401111111,318.960139
412306658,2019-01-04 02:35:00,34.1351407,120.727248,0.29,335.44625
412306658,2019-01-04 02:40:00,34.1352308,120.727423,0.355631399,337.521587
412306658,2019-01-04 02:45:00,34.1356212,120.728238,1.17474403,278.161519
412306658,2019-01-04 02:50:00,34.1360116,120.729053,1.99385666,218.801451
412306658,2019-01-04 02:55:00,34.1364019,120.729868,2.81296928,159.441382
412306658,2019-01-04 03:00:00,34.136786,120.73108,2.85909091,95.8045455
412306658,2019-01-04 03:05:00,34.1372433,120.733172,1.40694444,84.4388889
412306658,2019-01-04 03:10:00,34.1380974,120.7347,1.99027778,354.105556
412306658,2019-01-04 03:15:00,34.1384446,120.736666,1.79735034,261.849264
412306658,2019-01-04 03:20:00,34.1387832,120.738639,1.59126595,163.458685
412306658,2019-01-04 03:25:00,34.1391217,120.740613,1.38518155,65.068106
412306658,2019-01-04 03:30:00,34.1395377,120.74257,1.45815148,31.381258
412306658,2019-01-04 03:35:00,34.1400082,120.744516,1.72772786,43.2811297
412306658,2019-01-04 03:40:00,34.1404786,120.746462,1.99730424,55.1810013
412306658,2019-01-04 03:45:00,34.1411,120.748047,2.61875,91.55875
412306658,2019-01-04 03:50:00,34.1415824,120.749872,3.0,110.790365
412306658,2019-01-04 03:55:00,34.1419463,120.751993,2.71,91.6126667
412306658,2019-01-04 04:00:00,34.1424713,120.753978,1.96,54.6626667
412306658,2019-01-04 04:05:00,34.1429206,120.755851,1.76583333,51.7925
412306658,2019-01-04 04:10:00,34.1432498,120.757548,2.45333333,102.98
412306658,2019-01-04 04:15:00,34.1437153,120.759315,2.36360601,112.639232
412306658,2019-01-04 04:20:00,34.1442178,120.7611,2.06310518,111.036561
412306658,2019-01-04 04:25:00,34.1447681,120.762936,2.04388889,113.816111
412306658,2019-01-04 04:30:00,34.145331,120.764785,2.09944444,117.760556
412306658,2019-01-04 04:35:00,34.1456382,120.767026,1.92,64.43
412306658,2019-01-04 04:40:00,34.1463207,120.768928,1.54518272,24.7923588
412306658,2019-01-04 04:45:00,34.1467777,120.77081,1.68808081,41.8337374
412306658,2019-01-04 04:50:00,34.1472,120.772694,1.90020202,65.8943434
412306658,2019-01-04 04:55:00,34.1476222,120.774579,2.11232323,89.9549495
412306658,2019-01-04 05:00:00,34.1480917,120.776497,2.01814007,86.8667049
412306658,2019-01-04 05:05:00,34.1485946,120.778438,1.70815155,64.6508611
412306658,2019-01-04 05:10:00,34.1490974,120.780379,1.39816303,42.4350172
412306658,2019-01-04 05:15:00,34.149217,120.78176,1.13578104,76.9200267
