天脊山,长治市平顺县,4A,3.6,50,24
藏山风景区,泉市盂县苌池镇藏山村,4A,4.2,72,18
娘子关,阳泉市平定县娘子关镇,4A,5.0,55,14
应县木塔,朔州市应县城内西北角,4A,5.0,46.7,8
永济五老峰,永济市市区东南16公里的中条山脉,4A,3.8,63,16
望仙风景区,运城市垣曲县历山镇望仙村,4A,0.0,55,16
石膏山,晋中市灵石县城南关镇峪口村,4A,3.5,3,2
常家庄园,晋中市榆次区东阳镇车辋村,4A,3.8,80,2
雁门关,忻州市代县雁门关景区,5A,3.6,84,8
中国死海运城盐湖,运城市盐湖区城南（距离池神庙3公里处）,4A,3.9,1.1,4
壶口瀑布,临汾市吉县壶口镇,4A,4.4,1.3,4
洪洞大槐树,临汾市洪洞县古槐北路公园街002号,5A,5.0,0.9,4
庞泉沟国家森林公园,山西省吕梁市交城县庞泉沟镇长立村,4A,0.0,118,33
山西晋祠博物馆,太原市晋源区晋祠镇,4A,3.8,0.2,10
东湖醋园,太原市马道坡26号,4A,3.5,6.6,50
神潭大峡谷,运城永济市永济电机厂南2公里处水峪口村,4A,0.0,28,10
蟒河生态旅游区,晋城市阳城县蟒河镇蟒河村,4A,3.9,30,2
中国煤炭博物馆,太原市万柏林区迎泽西大街2号,4A,3.5,60,12
解州关帝庙,山西省运城市盐湖区五一路145号,4A,4.1,1,77
鹳雀楼,运城市永济市蒲州古城西向的黄河东岸,4A,3.9,50,4
王莽岭风景区,晋城市陵川县古郊乡银盘村,4A,4.1,6,55
榆次老城,晋中市俞家街榆次老城,4A,3.6,75,2
大同古城墙,大同市平城区和阳街与和阳门内街交叉口东100米,4A,0.0,1.3,54
李家大院,运城市万荣县阎景村,4A,0.0,53.7,4
普救寺,永济市蒲州镇西厢村的塬上,4A,5.0,54,39
后沟古村落,晋中市榆次区东赵乡后沟古村,4A,3.5,20,76
万年冰洞,忻州市宁武县春景洼乡麻地沟村,4A,0.0,108,62
魏都水世界,大同市平城区魏都大道,4A,0.0,50,72
尧庙,临汾市尧都区尧庙村,4A,4.2,34.2,4
黄河大禹渡,运城市芮城县永乐北街,4A,3.5,38,56
汾河公园,太原市迎泽区滨河东路,4A,3.6,0.9,2
海会寺,晋城市阳城县北留镇大桥村海会寺景区管理处,4A,3.6,28,31
尊胜寺,台怀镇五台山风景区内,3A,0.0,5,2
山西老牛湾,忻州市偏关县,4A,0.0,93,99
欢乐太行谷,长治市壶关县长治东高速收费站西2公里（325省道附近）,4A,0.0,168,10
红崖峡谷,晋中市灵石县小柏沟村东,4A,0.0,80,81
汾酒文化景区,吕梁市汾阳市城北的307国道北侧，城北15公里左右,4A,3.5,1.9,48
北武当山,吕梁市方山县北武当镇武当线,4A,3.7,72,41
晋华宫煤矿,大同市云冈区晋华宫,4A,3.5,26,6
圣天湖,运城市芮城县城东南方20公里处的陌南镇黄河之滨,4A,0.0,128,33
永乐宫,运城市芮城县以北约2公里古魏镇上,4A,4.7,53.5,72
芦芽山,忻州市宁武县东寨镇芦芽山游客服务中心,4A,3.6,24.5,93
宝源老醋坊,太原市清徐县孟封镇杨房北路288号,4A,0.0,2,47
乌金山国家森林公园,晋中市榆次区乌金山镇森林公园(近太原寿阳交汇处),4A,0.0,29.9,34
郭峪村,晋城市阳城县皇城相府生态文化旅游区郭峪古城,4A,3.7,65,49
八路军文化园,长治市武乡县太行西街,4A,0.0,72,44
仙堂山,长治市襄垣县井背村,4A,3.6,60,6
中华傅山园,太原市尖草坪区向阳镇西村,3A,0.0,44.9,32
卦山,吕梁市交城县城北3公里处,4A,3.7,50,2
珏山,晋城市区泽州县金村镇寺南庄村,4A,3.7,48,59
小西天,临汾市隰县城西北1公里凤凰山,4A,3.7,32,4
禹王洞,忻州市西张乡霸沟,4A,3.5,74.5,4
翠枫山,阳泉市后峪村翠枫山,4A,3.6,1.6,39
八路军太行纪念馆,长治市武乡县太行街363号,4A,3.8,1.5,87
三皇庙,孝义市城区贾家庄村三皇庙街中部,4A,0.0,40,46
汾河源头,忻州市宁武县东寨镇思源大街,4A,0.0,24.5,89
金龙山风景名胜区,吕梁市孝义市高阳园区南岸,4A,0.0,5,57
垣曲黄河·历山风景区,山西省运城市垣曲县中条南大街历山旅游,4A,0.0,20,69
后土祠,运城市万荣县荣河镇庙前村的黄河岸边,4A,0.0,20,89
善化寺,大同市平城区南寺街6号(近楼房巷),4A,3.6,289,61
华门,临汾市南4公里处（尧庙广场的西面）,4A,0.0,35,53
广胜寺,临汾市洪洞县广胜寺镇,4A,4.1,43.9,74
大阳古镇,晋城市泽州县大东线,4A,0.0,30,82
玄中寺,吕梁市交城县西北约10公里的石壁山上,4A,3.8,30,76
渠家大院,晋中市祁县古城东街33号,4A,3.6,32,65
龙澍峪风景区,临汾市襄汾县黄崖村,4A,0.0,45,31
阎锡山故居,忻州市定襄县东北22公里处的河边村,4A,0.0,50,82
响沙湾,内蒙古自治区鄂尔多斯市达拉特旗响沙湾旅游景区,5A,4.2,82,84
大召寺,呼和浩特市玉泉区大召前街,4A,4.5,34,6
鄂尔多斯野生动物园,鄂尔多斯市东胜铁西区三园路1号,4A,0.0,120,26
成吉思汗陵,鄂尔多斯市伊金霍洛旗伊金霍洛镇,5A,0.0,45,26
五当召,包头市石拐区五当召,4A,3.9,55,32
神泉生态旅游景区,呼和浩特市托克托县双河镇郝家窑村,4A,0.0,90,10
阿尔山国家森林公园,内蒙古自治区兴安盟阿尔山市阿尔山国家森林公园,5A,5.0,275,6
苏泊罕大草原,鄂尔多斯市伊金霍洛旗境内,4A,0.0,298,6
莫尼山非遗小镇,104省道呼武路段,4A,0.0,48,38
甘珠尔庙,内蒙古呼伦贝尔市新巴尔虎左旗,3A,3.7,5,10
满洲里国门景区,内蒙古呼伦贝尔满洲里市五道街,5A,3.7,10,4
辉腾锡勒草原,乌兰察布市察哈尔右翼中旗中南部,4A,5.0,198,4
鄂尔多斯草原旅游区,鄂尔多斯市杭锦旗锡尼镇西南9公里,4A,3.6,268,16
额尔古纳湿地景区,呼伦贝尔市额尔古纳市金鹊街与迎春街交叉口,4A,0.0,62,79
万家惠欢乐世界,鄂尔多斯市东胜区永昌路47号万家惠欢乐世界,4A,0.0,19,2
玉龙沙湖,内蒙古赤峰市翁牛特旗乌丹镇玉龙沙湖景区,4A,3.8,75,98
黄河大峡谷.老牛湾旅游区,呼和浩特市清水河县单台子乡老牛湾村,4A,0.0,38,12
白桦林景区,呼伦贝尔市额尔古纳市201省道,4A,0.0,48,61
阿斯哈图石林景区,赤峰市克什克腾旗北部,5A,4.5,155,4
多伦湖景区,多伦县大河口乡多伦湖景区,4A,0.0,7,69
额济纳胡杨林,内蒙古阿拉善盟额济纳旗达来呼布镇,5A,0.0,1902,93
腾格里沙漠月亮湖,阿拉善盟阿拉善左旗境内,4A,0.0,90,49
苏木山旅游区,乌兰察布市兴和县大南山深处,4A,3.5,7,51
布林泉旅游景区,锡林郭勒盟乌拉盖管理区巴音胡硕镇北11公里处,4A,0.0,5,4
大青沟,通辽市科左后旗甘旗卡镇西南25公里处,4A,5.0,45,4
九城宫旅游景区,鄂尔多斯市东胜区罕台镇九城宫旅游度假区,4A,0.0,6,2
蒙亮民族风情园,呼和浩特市回民区成吉思汗西街,4A,0.0,208,70
林胡古塞,乌兰察布市卓资县大榆树乡,4A,0.0,303,6
巴尔虎部落,内蒙古呼伦贝尔市新巴尔虎左旗绥满公路301国道旁1494公里处,4A,0.0,145,89
莫尔道嘎国家森林公园,呼伦贝尔市莫尔道嘎镇11公里处,4A,4.1,6,53
贺兰山广宗寺（南寺）,阿拉善盟阿拉善左旗南30公里处,4A,0.0,69.9,4
世界反法西斯战争海拉尔纪念园,呼伦贝尔市海拉尔区北山口,4A,3.6,45,41
根河源国家湿地公园,呼伦贝尔市根河市东北方向7公里处,4A,0.0,75,52
呼和诺尔草原,呼伦贝尔市陈旗白音哈达苏木,4A,3.6,198,58
腾格里沙漠天鹅湖,阿拉善左旗腾格里天鹅湖景区,4A,0.0,35,30
额尔古纳国家湿地公园,呼伦贝尔市额尔古纳市上库力办事处辖区根河桥东13公里处,4A,0.0,55,43
道须沟,赤峰市宁城县黑里河镇阳坡,4A,0.0,74.9,81
贝子庙,锡林郭勒盟锡林浩特市贝子庙街额尔敦陶力盖敖包山南坡下，贝子庙街与额尔敦路交汇处,4A,0.0,5,90
阿拉善通湖草原,内蒙古阿拉善盟阿拉善左旗腾格里沙漠经济开发区,4A,0.0,9,54
七星湖沙漠风景区,鄂尔多斯市杭锦旗独塔拉镇,4A,3.5,55,75
美岱召,包头市土默特右旗美岱召镇美岱召村,4A,3.7,28,86
达里诺尔湖,内蒙古自治区赤峰市克什克腾旗,4A,4.8,9,56
库伦三大寺旅游景区,内蒙古自治区库伦旗驻地库伦镇中部,4A,0.0,25,75
准格尔旗黄河大峡谷,鄂尔多斯市准格尔旗包子塔,4A,0.0,40,52
内蒙古博物馆,呼和浩特市新城区新华东街27号,4A,4.1,6,31
梅力更,包头市九原区梅力更沟110国道724里处,4A,3.6,1.2,20
贺兰山福因寺（北寺旅游景区）,阿拉善左旗木仁高勒苏木境内（距离巴彦浩特镇约30公里）,4A,0.0,60,35
蒙牛乳业工业园区,内蒙古呼和浩特市和林格尔县盛乐经济园区,4A,3.5,6,2
北方兵器城,包头市青山区兵工路,4A,3.5,15,79
召庙北五台,赤峰市巴林左旗林东镇南14公里处,4A,0.0,5,56
达尔滨湖国家森林公园,中国内蒙古呼伦贝尔市鄂伦春自治旗诺敏镇,4A,0.0,75,63
包头花舞人间,包头市石拐区喜桂图新区康庄大道99号,4A,0.0,20,6
乌里雅斯太山,内蒙古锡林郭勒市东乌珠穆沁旗乌里雅斯太镇,3A,0.0,20,87
鄂尔多斯康巴什旅游区,鄂尔多斯市康巴什新区,4A,0.0,21,58
金帐汗蒙古部落,内蒙古呼伦贝尔市陈巴尔虎旗呼伦贝尔草原德莫尔格勒河畔,4A,4.1,6,74
呼伦贝尔古城,内蒙古自治区呼伦贝尔市莫力达瓦达斡尔族自治旗,3A,0.0,198,84
猛犸象公园,内蒙古呼伦贝尔满洲里市扎赉诺尔新区（金湖路与富民街交口）,4A,0.0,120,91
巴丹吉林沙漠,阿拉善盟阿拉善右旗巴丹吉林镇巴丹吉林沙漠地质公园,4A,0.0,7,73
昭君博物院,呼和浩特市玉泉区南郊6公里处,4A,4.8,499,40
银肯塔拉沙漠生态文化旅游区,鄂尔多斯达拉特旗境内，距达拉特旗树林召镇22公里,4A,0.0,118,38
紫蒙湖旅游风景区,赤峰市宁城县黑里河镇紫蒙湖旅游风景区,4A,0.0,84.9,6
哈素海,内蒙古呼和浩特市土默特左旗,3A,3.7,318,85
红花尔基樟子松国家森林公园,呼伦贝尔市鄂温克族自治旗红花尔基镇,4A,3.5,99,50
萨拉乌苏旅游区,鄂尔多斯市乌审旗无定河镇巴图湾,4A,3.6,40,69
东联动漫城,鄂尔多斯东胜区罕台镇西15公里处,4A,0.0,9,31
诺门罕战役遗址,内蒙古呼伦贝尔新巴尔虎右旗阿镇西南沿203省道60公里,3A,0.0,7,32
喀喇沁亲王府,内蒙古赤峰市喀喇沁旗王爷府镇,4A,3.7,6,70
鄂伦春布苏里景区,呼伦贝尔市鄂伦春自治旗布苏里,4A,3.5,75,84
大沙头生态文化区,鄂尔多斯市鄂托克前旗敖勒召其镇，昂敖线旁,4A,0.0,30,49
呼和诺尔景区,内蒙古自治区呼伦贝尔市陈巴尔虎旗白音哈达苏木,4A,0.0,1000,56
巴彦呼硕草原,呼伦贝尔市鄂温克旗,3A,3.5,5,73
吉穆斯泰景区,内蒙古包头市达茂旗百灵庙镇,4A,0.0,50,60
奥威蒙元马文化生态旅游区,呼和浩特市赛罕区林格尔县盛乐镇七杆旗行政村,4A,0.0,49,52
海昌发现王国,大连市金州区金石滩国家旅游度假区金石路36号,5A,0.0,175,576
大连森林动物园,大连市西岗区迎春路60号（圈养区入口）大连市西岗区滨海西路79号（散养区入口）,4A,3.6,116,562
老虎滩海洋公园,大连市中山区滨海中路9号,5A,4.5,109,334
沈阳方特欢乐世界,沈阳市沈北新区盛京大街55号,4A,0.0,155,558
大连圣亚海洋世界,大连市沙河口区中山路608-6-8号（星海广场西500米）,4A,4.1,120,326
皇家海洋乐园,抚顺市望花区高湾经济开发区,4A,4.6,158,356
沈阳故宫,沈阳市沈河区沈阳路171号,4A,3.5,53.2,126
沈阳世博园,沈阳市近郊高坎镇中马村双园路301号,5A,3.5,43.5,182
金石滩旅游度假区,大连市金州区金石滩国家旅游度假区,5A,4.6,9,32
鞍山千山,鞍山市千山区千山东路79号,5A,4.5,72,86
北普陀山,锦州市太和区中屯乡北普陀山风景区,4A,3.8,40,122
